activity_code,exercise_name,mets,source,source_url
01003,自転車をこぐ：山道、上り坂、きつい労力,14.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01004,自転車をこぐ：山道、競技レース,16.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01008,自転車をこぐ：モトクロス用自転車,8.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01009,自転車をこぐ：山道、全般,8.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01010,自転車をこぐ：16.2km/時未満、レジャー、通勤、娯楽,4.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01011,自転車をこぐ：通勤、自分で選んだペースで,6.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01013,自転車をこぐ：非舗装道や農道、ほどほどの速さ,5.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01014,自転車をこぐ：全般,7.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01015,自転車をこぐ：自分で選んだ楽なペースで,4.3,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01016,自転車をこぐ：自分で選んだほどほどのペースで,7.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01017,自転車をこぐ：自分で選んだ激しいペースで,9.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01018,自転車をこぐ：レジャー、8.9km/時,3.5,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01019,自転車をこぐ：レジャー、15.2km/時,5.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01020,自転車をこぐ：16.2-19.3km/時、レジャー、ゆっくり、楽な労力,6.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01030,自転車をこぐ：19.4-22.5km/時、レジャー、ほどほどの労力,8.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01040,自転車をこぐ：22.7-25.8km/時、レース、レジャー、速い、きつい労力,10.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01050,自転車をこぐ：25.9-30.8km/時、レース／ドラフティングなし、または30.8km/時より速い速度でのドラフティン グあり、とても速い、レース全般,12.0,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
01060,自転車をこぐ：32.4km/時より速い、レース、ドラフティングなし,16.8,pacompendium_2024_japanese_pdf,https://pacompendium.com/wp-content/uploads/2024/11/2024compendium_adult_japanese-2.pdf
